Part Number,Description,Shipped,Pack,Piece Price,Total
,,,,,
10819913012591,* ML Juul 4 Pod Strength 5% 8CT | Strength Classic Menthol,2,8,102.0,204.0
,,,,,
10819913011426,* ML Juul 4 Pod Strength 5% 8CT | Strength Virginia Tobacco,1,8,102.0,102.0
,,,,,
842426165242,4 Kings 4 For $1.19 15CT (C24) | Blueberry Pineapple,4,15,8.65,34.6
,,,,,
842426165334,4 Kings 4 For $1.19 15CT (C24) | Green Sweet,2,15,8.65,17.3
,,,,,
842426165396,4 Kings 4 For $1.19 15CT (C24) | Mango,2,15,8.65,17.3
,,,,,
842426165426,4 Kings 4 For $1.19 15CT (C24) | Melonberry,1,15,8.65,8.65
,,,,,
842426165457,4 Kings 4 For $1.19 15CT (C24) | Napa Grape,4,15,8.65,34.6
,,,,,
842426165518,4 Kings 4 For $1.19 15CT (C24) | Watermelon,4,15,8.65,34.6
,,,,,
071610340473,Backwoods 10CT/3PK (C30) | Russian Cream,3,10,24.0,72.0
,,,,,
071610340565,Backwoods 8CT/5PK (C30) | Banana,6,8,30.5,183.0
,,,,,
071610340169,Backwoods 8CT/5PK (C30) | Black Russian,2,8,30.5,61.0
,,,,,
071610341036,Backwoods 8CT/5PK (C30) | Bold,1,8,30.5,30.5
,,,,,
071610341517,Backwoods 8CT/5PK (C30) | Chocolate,6,8,30.5,183.0
,,,,,
071610341548,Backwoods 8CT/5PK (C30) | Dark Berry,1,8,30.5,30.5
,,,,,
071610302730,Backwoods 8CT/5PK (C30) | Dark Stout,1,8,30.5,30.5
,,,,,
071610301870,Backwoods 8CT/5PK (C30) | Honey Berry,30,8,30.5,915.0
,,,,,
071610302273,Backwoods 8CT/5PK (C30) | Honey Bourbon,9,8,30.5,274.5
,,,,,
071610302808,Backwoods 8CT/5PK (C30) | Russian Cream,33,8,30.5,1006.5
,,,,,
071610301924,Backwoods 8CT/5PK (C30) | Sweet Aromatic,32,8,30.5,976.0
,,,,,
071610341760,Backwoods 8CT/5PK (C30) | Tical,30,8,30.5,915.0
,,,,,
071610340848,Backwoods 8CT/5PK (C30) | Vanilla,3,8,30.5,91.5
,,,,,
071610301900,Backwoods 8CT/5PK (C30) | Wild N Mild Orig,3,8,30.5,91.5
,,,,,
071610340305,Backwoods 8CT/5PK (C30) | Wild Rum,1,8,30.5,30.5
,,,,,
071610341364,Backwoods Select 10CT/3PK (C32) | Pennsylvania,2,10,29.99,59.98
,,,,,
070137514893,Black N Mild $1.19 25CT Plastic Tip (C30) | Jazz,14,25,18.0,252.0
,,,,,
070137500889,Black N Mild 10CT/5PK (C30) | Apple,1,10,44.0,44.0
,,,,,
070137500421,Black N Mild 10CT/5PK (C30) | Cream,1,10,44.0,44.0
,,,,,
070137513728,Black N Mild 10CT/5PK (C30) | Filter Tip Sweet,16,10,17.99,287.84
,,,,,
070137500186,Black N Mild 10CT/5PK (C30) | Original,20,10,44.0,880.0
,,,,,
070137500384,Black N Mild 10CT/5PK (C30) | Select,2,10,44.0,88.0
,,,,,
070137000235,Black N Mild 10CT/5PK (C30) | Wine,5,,44.0,220.0
,,,,,
070137511168,Black N Mild 10CT/5PK Wood Tip (C30) | Jazz,2,10,47.0,94.0
,,,,,
070137505259,Black N Mild 10CT/5PK Wood Tip (C30) | Original,3,10,47.0,141.0
,,,,,
070137505297,Black N Mild 10CT/5PK Wood Tip (C30) | Wine,2,10,47.0,94.0
,,,,,
070137005186,Black N Mild 25CT (C30) | Original,13,25,22.0,286.0
,,,,,
070137839354,Black N Mild 25CT Nice Price (C30) | Jazz,2,,19.5,39.0
,,,,,
070137511229,Black N Mild 25CT Wood Tip (C30) | Jazz,1,25,24.99,24.99
,,,,,
070137525257,Black N Mild 25CT Wood Tip (C30) | Original,17,25,24.99,424.83
,,,,,
070137525295,Black N Mild 25CT Wood Tip (C30) | Wine,12,25,24.99,299.88
,,,,,
070137515630,Black N Mild 25CT Wood Tip Nice Price (C30) | Sweet,2,25,24.99,49.98
,,,,,
070137839651,Black N Mild 5 For 4 (C30) | Original,30,10,35.0,1050.0
,,,,,
070137839750,Black N Mild 5 For 4 (C30) | Wine,29,10,35.0,1015.0
,,,,,
070137514237,Black N Mild 99C 25CT (C30) | Sweets,7,25,18.0,126.0
,,,,,
819721012397,Bluntville $1.29C Pre-Priced 25CT (C50) | Blue,50,25,16.25,812.5
,,,,,
819721012335,Bluntville $1.29C Pre-Priced 25CT (C50) | Palma Trio,55,25,16.25,893.75
,,,,,
819721012458,Bluntville $1.29C Pre-Priced 25CT (C50) | Piff,2,25,16.25,32.5
,,,,,
819721012366,Bluntville $1.29C Pre-Priced 25CT (C50) | Triple Vanilla,62,25,16.25,1007.5
,,,,,
689076935920,Bluntville 25CT (C50) | Sweet,1,25,17.0,17.0
,,,,,
874411000726,Cheyenne Filtered Cigar (C60) | Vanilla,6,20,12.99,77.94
,,,,,
751667074346,Djarum 10PKct/12CT (C40) | Bali Hai,4,10,43.89,175.56
,,,,,
751667046947,Djarum 10PKct/12CT (C40) | Black,6,10,43.89,263.34
,,,,,
751667067546,Djarum 10PKct/12CT (C40) | Cherry/Ruby,4,10,43.89,175.56
,,,,,
751667074261,Djarum 10PKct/12CT (C40) | Mild Select,1,10,43.89,43.89
,,,,,
751667090629,Djarum 10PKct/12CT (C40) | Vanilla / Ivory,2,10,43.89,87.78
,,,,,
071610495883,Dutch Master 3CT/$1.99 20CT (C16) | Palma,4,20,24.5,98.0
,,,,,
